domain,method,n,kp_rmse_mean_px,kp_rmse_median_px,eT_mean_m,eT_median_m,eR_mean_deg,eR_median_deg,speed_raw,speed_thr,pnp_ok,ransac_ok,ransac_fail_pct,eT_ransac_median_m,eR_ransac_median_deg,pseudo_accepted,pseudo_accepted_pct,pseudo_reproj_median_px,pseudo_inliers_mean,speed_raw_improve_pct_vs_baseline,kp_rmse_improve_pct_vs_baseline,ransac_fail_reduction_pp_vs_baseline
lightbox,Synthetic baseline,6740,39.6068307457232,31.837745666503906,1.8077725228727812,0.5806558792167766,35.928059483240474,17.956727743398723,0.9075960531062052,0.9075859433750001,6739,3264,51.57270029673591,0.12143641442097579,4.453373075205947,,,,,0.0,0.0,0.0
lightbox,Geo-pseudo v1,6740,31.453509414602813,19.35621738433838,1.454708419958321,0.4448379142659994,29.973706558786432,10.639769706230432,0.752296044047288,0.7522822035056486,6740,3818,43.353115727002965,0.14283429641477155,4.264264987736192,2169.0,32.18100890207715,3.917950054558136,7.243475056689342,17.111137551492224,20.58564438913304,8.219584569732945
lightbox,Iter2+Norm,6740,26.619341994799917,13.405088901519775,1.2021879247462108,0.3308597151713504,24.62415070035241,7.736236818560838,0.6150926455771533,0.6150756671502361,6740,4339,35.62314540059347,0.14515342617136692,3.7979537935063243,2799.0,41.52818991097923,3.979801486429974,7.47668390061755,32.22836927595406,32.7910325224032,15.949554896142438
lightbox,Iter3+Norm (final),6740,24.736978899247568,11.478156566619873,1.1108810639011273,0.31910220538982703,22.83080956813827,6.861875538379346,0.5696541062800681,0.5696402790498456,6740,4537,32.68545994065282,0.15760677817654337,3.655448221026178,3283.0,48.70919881305638,3.9185879283663523,7.60956924855029,37.23484094818907,37.54365488604841,18.88724035608309
sunlamp,Synthetic baseline,2791,46.7191141308614,42.07716369628906,1.689938647396423,0.6268344411583937,42.713975243185054,26.237077418305798,1.0179802383376337,1.0179781239721035,2791,883,68.362594052311,0.14173177600090558,6.891957372976165,,,,,0.0,0.0,0.0
sunlamp,Geo-pseudo v1,2791,41.14687876101678,32.47682189941406,1.4323155588551815,0.5680970295879895,39.0034515126402,20.216829572314516,0.913767014264946,0.9137631882867912,2791,1052,62.30741669652454,0.16762032142598565,6.52334356838949,448.0,16.051594410605517,4.138541262738082,6.581288343558282,10.237254137945586,11.927099803811883,6.055177355786455
sunlamp,Iter2+Norm,2791,39.59740056764349,29.962160110473633,1.4025070645199975,0.5588361894688036,37.76701610315403,18.391348009554918,0.8884771462150785,0.8884705250899642,2791,1141,59.11859548548907,0.17206831584409688,6.134819431461515,606.0,21.712647796488714,4.051717057564778,6.773467432950192,12.721572310090657,15.243682796017522,9.24399856682193
sunlamp,Iter2+Norm min5,2791,38.304731531324286,28.301132202148438,1.5484082515141648,0.7284401282154469,37.33359541717317,17.900949102306097,0.9063501508890939,0.9063490352756514,2790,1161,58.402006449301325,0.2556140843449129,6.185817666219584,1015.0,36.36689358652813,4.013211178347804,6.016746031746032,10.965840322286835,18.010578231359904,9.960587603009671
sunlamp,Iter2+Norm relaxed,2791,37.72804287709202,28.19906997680664,1.8703864037727411,0.9056001984688541,36.956443457738196,17.72101127553239,0.94949364801932,0.9494927352794548,2791,1156,58.58115370834827,0.3395932304501784,7.612940630915002,1260.0,45.14510927982802,4.920998976131309,6.238764996907855,6.7276934992522675,19.24495235201841,9.781440343962728
sunlamp,Iter3+Norm (final),2791,38.66722660379058,28.79794692993164,1.447299608190089,0.5670843482711387,36.84004148023752,17.431037990779686,0.8794314507333799,0.8794282632657623,2791,1181,57.68541741311358,0.18349324036932296,5.825415322734992,690.0,24.72232174847725,4.060269115740277,6.9079022988505745,13.6101647543281,17.234675093618602,10.677176639197413
