domain,method,speed_thr,kp_rmse_mean_px,eT_mean_m,eR_mean_deg,ransac_fail_pct,pseudo_accepted_pct,speed_improve_pct_vs_baseline,kp_rmse_improve_pct_vs_baseline,ransac_fail_reduction_pp_vs_baseline
lightbox,Synthetic baseline,0.907585943375,39.6068307457232,1.8077725228727808,35.928059483240474,51.57270029673591,,0.0,0.0,0.0
lightbox,Spacecraft-UDA-inspired,0.63679,27.83741,1.17446,26.08581,37.49258,34.86646884272997,29.83694771296292,29.715633702891214,14.080120296735913
lightbox,Geometry-only final,0.5696402790498456,24.736978899247568,1.1108810639011273,22.83080956813827,32.68545994065282,48.70919881305638,37.235665315446674,37.54365488604841,18.88724035608309
sunlamp,Synthetic baseline,1.0179781239721035,46.7191141308614,1.689938647396423,42.713975243185054,68.362594052311,,0.0,0.0,0.0
sunlamp,Spacecraft-UDA-inspired,0.95962,44.28569,1.46047,41.14896,65.06628,8.491580078824795,5.732748336908537,5.2086264393740755,3.29631405231099
sunlamp,Geometry-only final,0.8794282632657623,38.66722660379058,1.447299608190089,36.84004148023752,57.68541741311358,24.72232174847725,13.610298438018106,17.234675093618602,10.677176639197413
